CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
817,Germany,Male,45,9,101207.75,1,0,0,88211.12
602,France,Female,35,5,0.0,2,1,0,31050.02
662,France,Female,47,6,0.0,2,1,1,129392.75
790,Germany,Male,42,1,85839.62,1,1,0,198182.73
476,Germany,Female,34,8,111905.43,1,0,1,197221.81
692,France,Male,27,1,125547.53,1,0,0,7900.46
710,France,Female,41,2,156067.05,1,1,1,9983.88
569,France,Male,66,2,0.0,1,1,0,130784.2
805,France,Female,31,4,0.0,2,1,0,4798.12
679,France,Male,60,8,0.0,2,1,1,51380.9
617,Germany,Female,37,4,116471.43,2,1,0,175324.74
740,France,Female,60,5,108028.08,2,0,0,25980.42
660,France,Female,32,0,114668.89,1,1,0,84605.0
616,France,Female,31,3,136789.14,1,1,0,59346.4
511,France,Male,27,8,0.0,2,1,1,49089.36
646,Germany,Male,24,0,92398.08,1,1,1,18897.29
626,Spain,Female,26,8,148610.41,3,0,1,104502.02
581,France,Female,24,3,95508.2,1,1,1,45755.0
576,France,Male,32,7,0.0,2,1,0,4660.91
543,Germany,Male,48,1,100900.5,1,0,0,33310.72
652,Germany,Female,45,9,110827.49,1,1,1,153383.54
657,Germany,Male,40,7,99165.84,1,0,1,119333.95
638,Spain,Female,34,7,0.0,2,0,0,3946.29
563,France,Female,32,0,148326.09,1,1,0,191604.27
617,France,Female,30,8,0.0,1,1,1,92621.9
658,France,Female,39,4,0.0,1,1,1,147530.06
850,Germany,Male,32,2,128647.98,2,0,0,54416.18
632,France,Female,40,9,139625.34,1,1,0,93702.96
758,France,Female,50,2,95813.76,3,1,1,67944.09
547,Germany,Male,32,8,155726.85,1,1,0,67789.99
789,France,Male,37,3,0.0,1,1,0,121883.87
624,Spain,Female,36,0,0.0,2,1,0,111605.9
674,Spain,Male,39,6,120193.42,1,0,0,100130.95
537,Germany,Female,46,5,100727.5,1,0,1,140857.76
697,Spain,Male,43,10,128226.37,1,0,0,188486.94
437,Germany,Male,35,6,126803.34,2,1,1,161133.4
524,Germany,Female,37,9,127480.58,2,1,0,179634.69
531,Spain,Female,45,1,126495.57,2,1,1,164741.5
724,Germany,Male,34,6,118235.7,2,0,0,157137.23
561,Spain,Male,28,6,123692.0,1,1,1,70548.96
720,Germany,Female,29,7,106230.92,1,1,1,69903.93
850,France,Male,29,1,0.0,2,0,0,152996.89
698,France,Female,46,0,0.0,2,1,1,125962.02
635,Germany,Female,48,4,81556.89,2,1,0,191914.37
696,France,Male,42,4,0.0,1,0,0,126353.13
731,France,Male,19,6,0.0,2,1,1,151581.79
484,Spain,Male,36,8,0.0,2,1,0,186136.48
648,Spain,Female,49,10,0.0,2,1,1,159835.78
494,Spain,Male,27,2,0.0,2,1,0,22404.64
576,France,Male,40,9,0.0,2,1,0,112465.19
749,Germany,Female,44,0,71497.79,2,0,0,151083.8
561,France,Male,43,4,0.0,4,0,0,18522.91
721,France,Male,69,2,108424.19,1,1,1,178418.35
608,France,Male,59,1,0.0,1,1,0,70649.64
632,Germany,Male,30,1,58668.02,1,1,1,78670.52
638,France,Male,46,9,139859.54,1,1,0,38967.29
706,Germany,Male,36,9,58571.18,2,1,0,40774.01
663,France,Male,34,10,0.0,1,1,1,114083.73
552,France,Female,41,9,124349.34,1,1,0,135635.25
557,France,Female,24,4,0.0,1,0,0,20515.72
365,Germany,Male,30,0,127760.07,1,1,0,81537.85
638,France,Female,36,6,0.0,1,1,0,164247.51
664,Germany,Male,33,7,97286.16,2,1,0,143433.33
646,France,Male,38,7,0.0,2,1,0,1528.4
628,Germany,Male,50,4,122227.71,1,0,1,14217.77
715,France,Female,33,3,85227.84,1,1,1,68087.15
521,Spain,Female,34,7,70731.07,1,1,1,20243.97
711,Spain,Male,37,2,0.0,2,1,0,83978.86
701,Spain,Female,34,6,107980.37,1,1,1,119374.74
753,Germany,Female,38,1,117314.92,1,1,0,122021.33
638,Germany,Male,25,4,148045.45,2,1,1,114722.42
613,France,Female,21,7,105627.95,1,1,1,36560.51
604,Spain,Male,23,9,124577.33,1,1,1,7267.25
520,France,Female,29,8,95947.76,1,1,0,4696.44
744,Germany,Male,32,4,96106.83,1,1,1,79812.77
585,Germany,Male,36,5,146050.97,2,0,0,86424.57
633,Germany,Male,50,7,88302.65,1,1,1,195937.16
611,Germany,Male,37,1,117524.72,2,0,1,161064.29
647,Germany,Female,41,1,85906.65,3,1,0,189159.97
753,France,Male,35,3,0.0,2,1,1,184843.77
768,Spain,Female,42,3,0.0,1,0,0,161242.99
513,Spain,Female,41,9,107135.04,2,1,1,160546.58
651,Germany,Female,37,10,117791.06,2,1,1,75837.58
657,Spain,Male,40,10,0.0,2,1,1,52990.7
498,France,Male,33,1,198113.86,1,1,0,69664.35
515,France,Male,41,8,0.0,2,1,1,185054.14
705,France,Male,61,4,0.0,2,1,1,191313.7
592,France,Male,29,7,0.0,2,1,1,91196.67
678,Germany,Female,25,10,76968.12,2,0,1,131501.72
574,Spain,Female,37,7,0.0,2,1,0,32262.28
711,France,Female,25,5,190066.54,1,0,0,51345.39
526,Spain,Female,33,8,114634.63,2,1,0,110114.38
581,Germany,Female,43,5,93259.57,3,1,0,141035.65
756,Spain,Male,19,4,130274.22,1,1,1,133535.29
674,Spain,Female,39,6,0.0,2,1,1,9574.83
608,France,Male,42,10,163548.07,1,1,0,38866.85
588,Spain,Female,22,9,67178.19,1,1,1,163534.75
648,France,Male,26,9,162923.85,1,1,0,98368.24
616,Spain,Male,30,5,0.0,2,0,1,196108.51
578,Spain,Male,28,4,0.0,2,0,0,6947.09
545,Germany,Female,44,2,127536.44,1,1,0,108398.63
751,Germany,Male,50,2,96888.39,1,1,0,77206.25
850,France,Male,40,6,97339.99,1,0,1,88815.25
695,France,Male,36,4,161533.0,1,1,0,100940.91
535,France,Female,38,8,0.0,2,1,0,136620.64
722,France,Male,30,5,0.0,2,1,0,166376.54
713,France,Male,43,5,86394.14,1,1,1,130001.13
449,France,Female,21,7,0.0,2,0,0,175743.92
632,France,Female,49,5,167962.7,1,0,0,140201.21
457,Spain,Male,44,7,0.0,2,0,0,185992.36
703,France,Male,37,1,149762.08,1,1,0,20629.4
507,Germany,Female,46,8,102785.16,1,1,1,70323.68
535,Germany,Male,20,9,134874.4,1,1,1,118825.56
556,Spain,Male,46,3,131764.96,1,1,1,108500.66
671,Germany,Female,44,0,84745.03,2,0,1,34673.98
710,Spain,Female,51,4,93656.95,1,0,1,141400.51
624,France,Female,23,5,0.0,2,0,0,132418.59
547,Germany,Female,39,6,74596.15,3,1,1,85746.52
565,France,Male,49,7,0.0,2,1,1,89609.26
675,France,Female,32,2,155663.31,1,1,0,97658.66
641,France,Female,42,6,0.0,2,0,0,121138.77
627,Germany,Female,35,2,137852.96,1,1,1,172269.21
728,France,Female,46,2,109705.52,1,1,0,20276.87
585,France,Female,33,4,152805.05,1,1,0,63239.65
638,Spain,Male,30,9,136808.53,2,1,1,106642.97
533,Germany,Male,38,4,70362.52,2,1,1,104189.46
757,Germany,Male,36,1,65349.71,1,0,0,64539.64
702,France,Female,29,6,149218.39,1,1,1,9633.01
624,France,Female,38,3,0.0,2,1,1,163666.85
659,Spain,Male,27,4,0.0,2,1,0,99341.87
585,Germany,Male,37,6,152496.82,1,1,1,99907.29
553,Spain,Male,41,6,144974.55,1,1,1,19344.92
508,France,Male,35,1,86893.28,1,0,0,59374.82
634,Spain,Male,34,1,0.0,2,1,0,61995.57
626,Germany,Female,23,6,85897.95,1,1,0,109742.8
569,France,Female,35,4,93934.63,1,1,0,184748.23
639,Spain,Male,29,4,133434.57,2,1,0,97983.44
616,Germany,Male,29,8,149318.55,1,1,0,140746.13
617,France,Male,30,3,132005.77,1,1,0,142940.39
617,France,Female,79,7,0.0,1,1,1,160589.18
607,Germany,Male,61,2,164523.5,2,1,1,35786.76
536,France,Female,61,8,65190.29,1,1,1,64308.49
758,France,Female,33,7,0.0,2,0,0,82996.47
811,France,Female,47,3,123365.34,2,0,0,171995.34
662,France,Male,64,0,98848.19,1,0,1,42730.12
665,Germany,Female,45,5,155447.65,2,1,0,51871.95
750,Germany,Female,52,6,107467.56,1,1,0,126233.18
605,France,Male,39,3,0.0,2,1,0,199390.45
601,Spain,Female,20,9,122446.61,2,1,0,86791.9
598,France,Female,32,4,111156.52,1,1,1,167376.26
455,France,Male,40,1,0.0,3,0,1,129975.34
667,Germany,Male,70,3,77356.92,2,1,1,20881.96
724,Germany,Male,31,9,138166.3,1,1,0,12920.43
634,France,Female,37,7,51582.5,2,1,1,184312.88
782,France,Male,33,7,191523.09,1,1,1,167058.75
651,Spain,Female,63,8,129968.67,1,1,1,11830.53
649,Germany,Male,78,4,68345.86,2,1,1,142566.75
705,France,Female,39,5,149379.66,2,1,0,96075.55
677,Spain,Female,43,3,133214.88,2,1,1,95936.84
466,Germany,Female,56,2,111920.13,3,1,0,197634.11
679,Germany,Male,58,8,125850.53,2,1,1,87008.17
737,Germany,Female,43,1,125537.38,1,1,0,138510.01
599,Germany,Male,39,2,188976.89,2,0,1,176142.09
523,France,Male,22,8,123374.46,1,1,1,124906.59
781,Spain,Male,35,4,80790.74,1,1,0,116429.51
544,France,Female,33,6,0.0,2,1,1,124113.04
639,Spain,Female,27,8,133806.54,2,1,0,6251.3
602,France,Female,33,8,0.0,2,1,1,112928.74
617,France,Male,41,7,0.0,2,0,1,14496.67
667,Spain,Male,71,4,137260.78,1,0,1,94433.08
656,France,Male,33,7,138705.02,2,1,0,37136.15
850,France,Male,42,0,0.0,2,1,0,44165.84
800,Spain,Male,38,1,0.0,2,1,0,51553.43
468,France,Female,42,5,0.0,2,1,0,125305.34
565,Germany,Male,33,8,130368.31,2,1,0,105642.43
577,France,Female,37,4,0.0,1,1,1,79881.39
622,France,Male,31,5,106260.67,1,1,1,2578.43
617,Germany,Female,51,10,167273.71,1,0,0,93439.75
687,Spain,Male,38,8,69434.4,2,1,1,66580.13
730,France,Male,23,8,0.0,2,1,0,183284.53
789,France,Male,31,4,175477.15,1,1,1,172832.9
724,France,Female,34,2,0.0,2,1,1,118863.38
526,France,Male,32,7,125540.05,1,0,0,86786.41
664,Germany,Female,36,2,127160.78,2,1,0,78140.75
850,France,Female,35,5,0.0,1,1,1,80992.8
736,France,Male,27,5,51522.75,1,0,1,192131.77
652,France,Female,74,5,0.0,2,1,1,937.15
809,Spain,Female,48,2,0.0,1,1,0,160976.85
651,France,Female,39,6,0.0,1,1,0,24176.44
669,France,Male,50,9,201009.64,1,1,0,158032.5
630,Germany,Female,25,7,79656.81,1,1,0,93524.22
530,Spain,Male,37,4,0.0,2,1,1,164844.37
750,Spain,Female,39,6,0.0,2,0,0,19264.33
671,Spain,Female,31,4,0.0,2,0,1,79270.02
792,France,Female,42,2,0.0,2,1,0,92664.09
690,Spain,Female,36,10,91760.11,1,1,1,135784.94
445,Germany,Female,38,6,119413.62,2,1,0,175756.36
749,France,Male,24,1,0.0,3,1,1,47911.03
809,Germany,Male,33,8,148055.74,1,0,0,199203.21
597,France,Male,28,2,0.0,3,1,1,78707.97
603,Spain,Male,24,1,165149.13,2,1,0,21858.28
573,Spain,Male,28,8,0.0,2,0,0,77660.03
645,France,Female,36,8,0.0,2,1,1,12096.61
576,Spain,Male,52,2,100549.43,2,1,1,16644.16
677,Spain,Male,40,5,0.0,2,1,0,88947.56
769,Spain,Male,38,6,0.0,2,0,0,104393.78
741,Spain,Female,42,9,121056.63,2,1,0,39122.58
631,France,Male,35,8,129205.49,1,1,1,79146.36
559,Germany,Female,36,1,104356.94,2,0,1,54184.06
469,Spain,Male,35,5,0.0,2,1,0,186490.37
497,Germany,Male,35,7,110053.62,2,1,1,92887.06
679,Spain,Male,39,6,0.0,2,1,0,12266.06
718,France,Female,25,4,108691.95,1,1,0,63030.97
782,France,Male,36,1,148795.17,2,1,1,195681.43
490,France,Female,35,7,107749.03,1,1,1,3937.37
649,Spain,Male,20,5,0.0,2,1,1,58309.54
645,France,Male,30,1,125739.26,1,1,1,193441.23
795,Germany,Female,33,9,104552.72,1,1,1,120853.83
604,France,Male,53,8,144453.75,1,1,0,190998.96
844,France,Female,41,10,76319.64,1,1,1,141175.18
762,Spain,Male,39,2,81273.13,1,1,1,18719.67
575,Spain,Female,37,0,0.0,2,0,0,30114.32
687,France,Male,34,5,128270.56,1,1,0,191092.62
683,Spain,Male,35,9,61172.04,1,0,0,82951.12
688,Germany,Male,35,5,111578.18,1,0,0,166165.93
625,France,Female,45,3,0.0,1,1,1,184474.15
669,France,Male,30,7,95128.86,1,0,0,19799.26
742,France,Female,60,4,0.0,1,1,1,13161.66
730,France,Male,34,1,0.0,2,1,1,126592.01
484,Germany,Female,55,8,149349.58,3,0,0,137519.92
650,Spain,Male,61,1,152968.73,1,0,1,82970.69
672,Spain,Male,33,2,0.0,2,1,1,182738.0
539,France,Female,24,3,0.0,2,1,1,198161.07
556,France,Female,40,9,129860.37,1,0,0,17992.94
573,Germany,Female,35,9,206868.78,2,0,1,102986.15
518,France,Female,27,1,133801.49,1,1,1,143315.57
615,France,Male,30,8,0.0,2,0,0,3183.15
526,France,Male,42,1,0.0,1,0,1,168486.02
718,France,Female,35,2,167924.95,1,1,0,43024.64
809,Spain,Male,80,8,0.0,2,0,1,34164.05
597,France,Male,67,2,0.0,2,0,1,108645.85
657,Spain,Male,75,7,126273.95,1,0,1,91673.6
726,France,Female,48,4,0.0,1,1,0,114020.06
533,France,Female,39,2,0.0,1,0,1,73669.94
739,France,Male,41,5,0.0,2,0,0,143882.25
555,Germany,Male,62,4,119817.33,1,0,1,43507.1
795,Spain,Male,35,8,0.0,2,1,0,167155.36
727,Spain,Male,43,2,97403.18,1,1,1,107415.02
641,France,Male,31,9,112494.99,1,1,1,32231.6
665,Spain,Female,51,8,0.0,1,1,1,38928.48
577,France,Female,35,4,108155.49,1,1,0,105407.79
477,Germany,Male,48,8,129250.0,2,1,1,157937.35
581,Spain,Male,34,1,0.0,2,0,1,81175.25
598,Spain,Female,35,8,0.0,3,0,1,88658.73
819,Germany,Female,49,1,120656.86,4,0,0,166164.3
828,Spain,Male,28,8,134766.85,1,1,0,79355.87
696,Spain,Male,24,9,0.0,1,0,0,10883.52
724,France,Female,29,6,0.0,2,0,1,64729.51
665,Germany,Male,25,5,153611.83,2,1,0,35321.65
709,France,Female,43,8,0.0,2,0,0,168035.62
673,Germany,Female,29,4,99097.36,1,1,1,9796.69
691,Spain,Male,40,1,0.0,2,1,1,145613.17
704,France,Male,24,2,148197.15,2,1,0,182775.08
637,France,Male,27,9,128940.24,1,1,0,46786.92
595,Spain,Female,30,5,100683.54,1,1,1,178361.04
545,Spain,Female,39,6,0.0,1,0,0,38410.74
741,Germany,Female,37,8,170840.08,2,0,0,109843.16
549,Germany,Female,43,3,134985.66,1,1,0,6101.41
627,Germany,Male,27,0,185267.45,2,1,1,77027.34
795,Germany,Female,56,9,94348.94,1,1,0,29239.29
693,Germany,Female,43,1,121927.92,1,1,0,87994.95
724,France,Male,40,6,0.0,2,0,0,106149.48
660,Germany,Male,35,8,58641.43,1,0,1,198674.08
614,Germany,Female,30,3,131344.52,2,1,0,54776.64
640,France,Female,33,1,167298.42,1,0,1,145381.65
766,Germany,Female,62,7,142724.48,1,0,1,5893.23
645,Germany,Female,59,8,121669.93,2,0,0,91.75
760,Spain,Male,43,6,175735.5,1,1,1,157337.29
708,France,Female,44,2,161887.81,2,1,0,84870.23
662,France,Female,32,4,133950.37,1,1,1,48725.68
724,Germany,Male,33,5,103564.83,2,1,0,121085.72
707,Spain,Female,32,4,132835.56,1,0,0,136877.24
782,France,Female,70,7,97072.42,1,0,1,131177.22
744,Spain,Male,35,7,0.0,2,1,1,43036.6
845,Spain,Female,38,2,112803.92,1,1,0,179631.85
838,Spain,Male,35,0,0.0,2,0,1,197305.91
547,Germany,Female,42,1,142703.4,1,1,0,86207.49
629,Spain,Female,30,2,34013.63,1,1,0,19570.63
554,France,Female,45,6,0.0,2,1,1,181204.5
687,France,Female,61,7,80538.56,1,1,0,131305.37
568,Spain,Female,43,9,0.0,1,1,0,125870.79
699,Spain,Male,47,1,0.0,2,0,1,30117.44
560,Germany,Male,41,4,152532.3,1,0,0,10779.69
695,France,Male,45,3,0.0,2,1,1,30793.61
664,France,Male,40,9,0.0,2,1,0,194767.3
733,France,Male,51,10,141556.96,1,1,0,130189.53
717,France,Female,41,3,135756.96,1,1,1,103706.41
688,Spain,Male,36,0,89772.3,1,1,0,177383.68
566,Germany,Female,44,5,141428.99,2,0,0,68408.74
779,France,Female,26,0,0.0,2,0,1,111906.0
628,Spain,Male,42,7,0.0,2,0,1,172967.87
648,France,Female,54,9,120633.42,1,0,0,5924.38
677,France,Male,58,9,0.0,1,0,1,168650.4
720,France,Male,33,2,0.0,2,0,1,141031.08
535,Spain,Female,49,7,115309.75,1,1,0,111421.77
588,Germany,Male,41,6,106116.56,2,1,0,198766.61
543,France,Male,36,4,0.0,2,1,1,141210.5
643,Spain,Female,45,9,150840.03,2,1,0,155516.35
650,Spain,Male,24,8,108881.73,1,1,0,104492.83
764,France,Male,24,7,98148.61,1,1,0,26843.76
662,France,Male,74,6,0.0,2,1,0,123583.85
732,France,Male,26,7,0.0,2,1,0,154364.66
610,Spain,Male,42,6,0.0,2,1,0,158302.59
701,France,Male,40,5,169742.64,1,1,1,153537.55
625,France,Male,39,2,0.0,2,1,0,100403.05
523,France,Female,40,2,102967.41,1,1,0,128702.1
577,France,Female,34,2,0.0,2,1,1,84033.35
802,France,Male,38,1,142557.11,1,1,1,172497.73
722,Spain,Female,35,1,120171.58,1,1,0,125240.8
712,France,Male,34,1,0.0,2,1,1,195052.12
612,France,Male,24,1,182705.05,1,1,1,171837.06
850,Germany,Male,40,6,94607.08,1,1,0,36690.49
719,Spain,Female,32,7,0.0,1,0,0,76264.27
675,France,Male,39,1,0.0,2,1,0,153129.22
724,Germany,Male,33,4,88046.88,1,0,1,186942.49
586,Germany,Male,37,8,167735.69,2,0,1,104665.79
431,France,Male,63,6,160982.89,1,1,1,168008.17
463,Germany,Female,41,8,123151.51,2,1,0,70127.93
706,France,Female,35,8,178032.53,1,0,1,42181.68
439,France,Female,29,6,156569.43,1,1,0,180598.66
491,France,Female,72,6,91285.22,1,1,1,7032.95
572,France,Male,43,2,140431.98,1,1,0,26450.57
799,Germany,Female,39,7,167395.6,2,0,1,139537.43
636,Germany,Male,36,6,96643.32,1,0,0,182059.28
633,France,Male,29,10,130206.28,1,1,0,184654.87
524,France,Male,28,1,93577.3,1,1,1,51670.82
555,Germany,Female,62,10,114822.64,1,0,1,8444.5
637,Spain,Male,43,3,172196.23,1,1,1,104769.96
730,France,Male,39,1,116537.6,1,0,0,145679.6
779,Germany,Female,37,2,128389.63,1,1,1,6589.16
494,Spain,Female,41,2,69974.66,2,1,0,188426.13
675,Spain,Female,50,1,133204.91,1,0,1,8270.06
602,Spain,Male,37,3,107592.89,2,0,1,153122.73
829,France,Female,22,7,150126.44,1,1,0,152107.93
606,Germany,Male,27,2,130274.26,2,1,0,147533.09
850,France,Female,34,2,0.0,2,0,0,51919.04
533,Spain,Female,52,7,0.0,1,0,1,194113.99
529,Spain,Female,35,5,0.0,2,1,0,56518.0
736,France,Male,43,4,176134.54,1,1,1,52856.88
610,France,Male,40,0,0.0,2,1,0,62232.6
769,France,Female,31,6,117852.26,2,1,0,147668.64
685,Germany,Male,30,3,90536.81,1,0,1,63082.88
738,Germany,Male,62,10,83008.31,1,1,1,42766.03
754,France,Male,34,7,0.0,2,1,1,65219.85
592,Germany,Female,26,4,105082.07,2,1,0,132801.57
796,Spain,Male,32,5,102773.15,2,0,1,117832.88
604,France,Male,33,3,148659.48,1,0,0,42437.75
619,Germany,Female,33,3,100488.92,2,0,1,36446.74
698,France,Male,57,6,136325.48,2,1,1,72549.27
752,Germany,Female,37,5,113291.05,2,1,1,132467.54
810,France,Female,51,5,0.0,2,0,1,184524.74
630,France,Female,36,2,110414.48,1,1,1,48984.95
534,France,Female,23,5,104822.45,1,0,1,160176.47
706,Spain,Female,46,2,127660.46,2,1,0,150156.82
518,Germany,Male,29,9,125961.74,2,1,0,160303.08
850,Spain,Male,39,6,133214.13,1,0,1,20769.88
695,France,Male,46,7,49512.55,1,1,0,133007.34
584,France,Female,40,4,82441.75,1,0,0,80852.11
567,France,Female,38,1,125877.65,2,1,1,107841.77
630,France,Female,26,5,0.0,2,1,0,182612.38
757,France,Female,49,2,0.0,2,0,0,164482.92
720,Spain,Female,59,6,0.0,2,1,1,160849.43
563,France,Male,30,7,90727.79,1,1,0,122268.75
712,Germany,Male,37,7,93978.96,2,1,0,60651.77
759,Spain,Male,38,1,0.0,2,1,0,20778.39
703,France,Female,51,3,0.0,3,1,1,77294.56
797,Spain,Female,31,8,0.0,2,1,0,117916.63
580,France,Male,55,6,104305.74,1,0,1,175750.21
785,Germany,Female,33,5,136624.6,2,1,1,169117.74
782,Spain,Female,27,3,0.0,2,1,0,143614.01
603,Germany,Male,35,1,123407.69,1,1,0,152541.89
734,France,Male,30,3,0.0,2,1,0,107640.25
745,Spain,Female,54,8,0.0,1,1,0,173912.29
586,France,Female,35,7,0.0,2,1,0,70760.69
588,Spain,Male,46,8,0.0,1,1,0,61931.21
699,France,Female,43,3,80764.03,1,1,0,199378.58
518,France,Female,28,9,85146.36,1,0,0,2803.89
729,France,Female,36,8,109106.8,1,0,0,121311.12
751,Germany,Male,36,5,73194.99,1,1,1,89222.66
650,Germany,Female,46,9,149003.76,2,1,0,176902.83
542,France,Male,29,9,0.0,1,1,0,8342.35
485,France,Male,41,2,100254.76,2,1,1,12706.67
669,France,Female,35,7,0.0,1,1,1,49108.23
774,France,Female,26,5,0.0,2,1,1,64716.08
